Einnahmen,Fixe Ausgaben,Geld zur Freien Verfügung,Geldbetrag,Art der Ausgabe,Datum
452.5,366.5,488.59,35.00,Hotel,03.01.2025
1043.99,135.09,,31.99,Alkohol,03.01.2025
,30.0,,2.19,Obst,03.01.2025
,29.0,,2.55,Kaugummi,03.01.2025
,5.99,,4.38,Protein,03.01.2025
,7.49,,2.19,Protein,03.01.2025
,28.0,,-0.66,Protein,03.01.2025
,19.9,,2.80,Obst,03.01.2025
,85.0,,2.85,Milch,03.01.2025
,199.65,,3.38,Milch,03.01.2025
,,,0.95,Jogurt,03.01.2025
,,,0.95,Jogurt,03.01.2025
,,,1.54,Protein,03.01.2025
,,,1.69,Getränke,03.01.2025
,,,0.25,Getränke,03.01.2025
,,,1.25,Mehl,03.01.2025
,,,2.99,Sonstiges,03.01.2025
,,,4.99,Sonstiges,03.01.2025
